state_fips,csa_code,cbsa_code,urban_area_code,bachelors_degree_2015,masters_degree_2015,professional_degree_2015,doctorate_degree_2015,total_pop_25plus_2015,employed_2015,unemployed_2015,in_labor_force_2015,total_commuters_2015,mean_travel_time_work_2015,state_2015,bachelors_degree_2016,masters_degree_2016,professional_degree_2016,doctorate_degree_2016,total_pop_25plus_2016,employed_2016,unemployed_2016,in_labor_force_2016,total_commuters_2016,mean_travel_time_work_2016,state_2016,bachelors_degree_2017,masters_degree_2017,professional_degree_2017,doctorate_degree_2017,total_pop_25plus_2017,employed_2017,unemployed_2017,in_labor_force_2017,total_commuters_2017,mean_travel_time_work_2017,state_2017,bachelors_degree_2018,masters_degree_2018,professional_degree_2018,doctorate_degree_2018,total_pop_25plus_2018,employed_2018,unemployed_2018,in_labor_force_2018,total_commuters_2018,mean_travel_time_work_2018,state_2018,bachelors_degree_2019,masters_degree_2019,professional_degree_2019,doctorate_degree_2019,total_pop_25plus_2019,employed_2019,unemployed_2019,in_labor_force_2019,total_commuters_2019,mean_travel_time_work_2019,state_2019,bachelors_degree_2020,masters_degree_2020,professional_degree_2020,doctorate_degree_2020,total_pop_25plus_2020,employed_2020,unemployed_2020,in_labor_force_2020,total_commuters_2020,mean_travel_time_work_2020,bachelors_degree_2021,masters_degree_2021,professional_degree_2021,doctorate_degree_2021,total_pop_25plus_2021,employed_2021,unemployed_2021,in_labor_force_2021,total_commuters_2021,mean_travel_time_work_2021,bachelors_degree_2022,masters_degree_2022,professional_degree_2022,doctorate_degree_2022,total_pop_25plus_2022,employed_2022,unemployed_2022,in_labor_force_2022,total_commuters_2022,mean_travel_time_work_2022,bachelors_degree_2023,masters_degree_2023,professional_degree_2023,doctorate_degree_2023,total_pop_25plus_2023,employed_2023,unemployed_2023,in_labor_force_2023,total_commuters_2023,mean_travel_time_work_2023,state_name,state_abbr,census_region,census_division,land_area_sq_km,water_area_sq_km,county_count,zcta5_count
1,106836.0,12639510.0,4649205.0,478797.0,201973.0,48504.0,32332.0,3239050.0,2022214.0,207088.0,2242281.0,1995361.0,1939704.0,637.0,492369.0,208825.0,49275.0,32572.0,3261184.0,2041957.0,184472.0,2238579.0,2014897.0,1955906.0,637.0,503916.0,215985.0,49443.0,34195.0,3276410.0,2055447.0,165383.0,2233139.0,2030038.0,1967536.0,637.0,515443.0,221842.0,50419.0,34881.0,3299737.0,2076638.0,147892.0,2237088.0,2051375.0,1984494.0,637.0,529178.0,230528.0,50259.0,35796.0,3320686.0,2097314.0,132061.0,2242681.0,2073002.0,2003837.0,637.0,546629.0,239746.0,52169.0,38455.0,3343765.0,2119927.0,125316.0,2259690.0,2094932.0,2002173.0,563628.0,251040.0,54076.0,41681.0,3413779.0,2173597.0,124416.0,2313616.0,2146674.0,2025951.0,572252.0,261024.0,56574.0,42962.0,3428438.0,2209633.0,120030.0,2345053.0,2183644.0,2038238.0,584986.0,269159.0,58744.0,44157.0,3448220.0,2229877.0,112849.0,2358632.0,2202184.0,2031041.0,Alabama,AL,3,6,130158.267592,2767.857576,67,656
2,0.0,607340.0,203927.0,83076.0,33403.0,8271.0,4963.0,463599.0,350357.0,31230.0,398229.0,356194.0,340073.0,474.0,86418.0,35380.0,8522.0,5029.0,469898.0,353209.0,30132.0,399669.0,359188.0,342810.0,474.0,88109.0,35749.0,8863.0,4865.0,474413.0,353038.0,29541.0,399558.0,359644.0,343850.0,474.0,87818.0,36720.0,9494.0,5292.0,476430.0,349864.0,28061.0,395013.0,357293.0,340609.0,474.0,87794.0,37884.0,10362.0,5630.0,479125.0,346342.0,26806.0,390862.0,354926.0,337954.0,474.0,89898.0,39083.0,9581.0,6058.0,481889.0,340078.0,26418.0,385119.0,349739.0,328606.0,92665.0,39503.0,9959.0,6028.0,484122.0,338412.0,25051.0,383406.0,349534.0,324721.0,93706.0,39620.0,9589.0,6418.0,485434.0,338730.0,23026.0,382557.0,350567.0,322339.0,95767.0,40980.0,9292.0,6340.0,487404.0,337739.0,20638.0,380345.0,350699.0,319840.0,Alaska,AK,4,9,528457.601565,26107.37106,30,245
4,105841.0,14525240.0,10171390.0,753297.0,320910.0,73284.0,51278.0,4359557.0,2812413.0,275581.0,3105200.0,2776780.0,2622713.0,1616.0,777521.0,333190.0,76987.0,53529.0,4438945.0,2878504.0,249841.0,3145718.0,2842258.0,2680196.0,1616.0,802215.0,347270.0,79678.0,55222.0,4514610.0,2953152.0,225830.0,3196296.0,2916132.0,2744792.0,1616.0,834903.0,362575.0,83015.0,57310.0,4632454.0,3045309.0,210137.0,3273780.0,3008038.0,2825365.0,1616.0,869239.0,378438.0,86361.0,60223.0,4731249.0,3130143.0,195835.0,3345570.0,3093655.0,2892721.0,1616.0,910863.0,401017.0,91207.0,65127.0,4845053.0,3215391.0,199549.0,3436190.0,3179505.0,2897301.0,923073.0,413298.0,92291.0,66406.0,4790999.0,3210349.0,191254.0,3423884.0,3174470.0,2802672.0,958238.0,429265.0,93897.0,69771.0,4877928.0,3280583.0,186202.0,3489565.0,3243817.0,2781253.0,999233.0,454505.0,99314.0,74027.0,4989294.0,3339610.0,182335.0,3546747.0,3305789.0,2759473.0,Arizona,AZ,4,8,233557.023622,771.302242,15,416
5,50684.0,9190580.0,2115481.0,267705.0,103381.0,24613.0,18348.0,1962386.0,1255998.0,104943.0,1365708.0,1236948.0,1197295.0,2930.0,273521.0,108040.0,24517.0,18317.0,1973222.0,1266482.0,93187.0,1364114.0,1247963.0,1208493.0,2930.0,280641.0,111065.0,26156.0,19493.0,1985389.0,1276384.0,85124.0,1365946.0,1258729.0,1218171.0,2930.0,288686.0,115324.0,27579.0,19958.0,1998793.0,1292129.0,75770.0,1372221.0,1274649.0,1231208.0,2930.0,297282.0,118996.0,27707.0,19268.0,2011297.0,1303464.0,70477.0,1378692.0,1287750.0,1243299.0,2930.0,308687.0,127186.0,28192.0,18651.0,2026482.0,1309695.0,71699.0,1386684.0,1294581.0,1238056.0,313572.0,129016.0,29370.0,19363.0,2021345.0,1311106.0,73733.0,1390616.0,1295882.0,1222949.0,317450.0,134770.0,29822.0,19966.0,2031862.0,1319679.0,71598.0,1397268.0,1304280.0,1216289.0,324638.0,137590.0,29944.0,21060.0,2043857.0,1327895.0,71267.0,1405762.0,1313222.0,1211100.0,Arkansas,AR,3,7,132162.079404,3009.150628,75,614
6,486704.0,60695760.0,51359377.0,5002325.0,1964995.0,583769.0,387789.0,25254472.0,17246036.0,1891061.0,19265444.0,16865127.0,15965086.0,10536.0,5135619.0,2045467.0,597868.0,397071.0,25550578.0,17576705.0,1683687.0,19387095.0,17189573.0,16255746.0,10536.0,5291576.0,2135354.0,616353.0,409983.0,25947095.0,17993433.0,1491111.0,19608288.0,17585364.0,16607573.0,10536.0,5445371.0,2222610.0,627863.0,422389.0,26215127.0,18308413.0,1321450.0,19753792.0,17899834.0,16879285.0,10536.0,5602652.0,2294755.0,645797.0,437096.0,26467890.0,18590773.0,1199185.0,19917175.0,18187252.0,17113493.0,10536.0,5764352.0,2377133.0,667830.0,447022.0,26660978.0,18646207.0,1229037.0,20013104.0,18236092.0,16706668.0,5855319.0,2449582.0,678258.0,468234.0,26796623.0,18676420.0,1303725.0,20128451.0,18282446.0,16205932.0,5935199.0,2515505.0,687281.0,488925.0,26842318.0,18729614.0,1282040.0,20167991.0,18352825.0,15852071.0,6035473.0,2587004.0,703157.0,508592.0,26940729.0,18700035.0,1282246.0,20143371.0,18330404.0,15497525.0,California,CA,4,9,280642.702012,4231.986912,58,1803
8,55723.0,8618650.0,2887063.0,847597.0,360776.0,76095.0,57051.0,3518034.0,2622955.0,195373.0,2850753.0,2605149.0,2431478.0,4200.0,874485.0,376170.0,79514.0,58959.0,3588838.0,2691306.0,171485.0,2895926.0,2672003.0,2484365.0,4200.0,909255.0,391852.0,83171.0,61492.0,3666941.0,2758757.0,152638.0,2944817.0,2740860.0,2538006.0,4200.0,944026.0,409625.0,87457.0,63143.0,3747158.0,2838122.0,139108.0,3010842.0,2820853.0,2602751.0,4200.0,980740.0,428095.0,90509.0,65340.0,3824271.0,2903489.0,131192.0,3068352.0,2885144.0,2647166.0,4200.0,1015721.0,445333.0,93590.0,67777.0,3899390.0,2935949.0,142557.0,3114491.0,2918853.0,2603792.0,1050964.0,464963.0,97473.0,72607.0,3936032.0,2975258.0,145034.0,3157084.0,2958756.0,2544772.0,1083582.0,481709.0,100019.0,76255.0,3981833.0,3021232.0,143470.0,3204890.0,3006347.0,2510548.0,1117686.0,505155.0,103260.0,80142.0,4037509.0,3051017.0,143357.0,3237057.0,3039471.0,2467909.0,Colorado,CO,4,8,267337.42150399997,1201.639295,63,527
9,116784.0,9057100.0,6786951.0,516001.0,297270.0,71852.0,40484.0,2462849.0,1781417.0,172292.0,1962170.0,1748352.0,1671682.0,2520.0,524370.0,300566.0,72543.0,40840.0,2466123.0,1793688.0,155005.0,1957060.0,1761516.0,1680466.0,2520.0,532055.0,306063.0,73239.0,41842.0,2480291.0,1805086.0,140712.0,1954364.0,1773999.0,1688843.0,2520.0,538924.0,309751.0,74380.0,42172.0,2478703.0,1810445.0,125909.0,1944843.0,1780653.0,1690087.0,2520.0,541380.0,315473.0,76404.0,42208.0,2483090.0,1815636.0,116456.0,1940825.0,1786592.0,1692626.0,2520.0,551459.0,323696.0,77718.0,43127.0,2489201.0,1807525.0,116234.0,1933145.0,1777570.0,1641807.0,561567.0,334219.0,79160.0,45020.0,2515137.0,1822995.0,117631.0,1950007.0,1791786.0,1605422.0,573917.0,341203.0,81685.0,46421.0,2520790.0,1832525.0,115050.0,1955341.0,1798193.0,1571527.0,581935.0,348926.0,82933.0,48609.0,2532853.0,1835455.0,109838.0,1953702.0,1800904.0,1542438.0,Connecticut,CT,1,1,12541.938758,504.647518,9,288
10,19688.0,2379880.0,1815785.0,112141.0,55594.0,11160.0,10467.0,631118.0,433816.0,36223.0,473007.0,427787.0,409934.0,670.0,115770.0,57237.0,11650.0,10664.0,640915.0,438292.0,33669.0,474821.0,432424.0,413650.0,670.0,117478.0,60642.0,12303.0,11346.0,651540.0,441513.0,30245.0,474774.0,435351.0,415725.0,670.0,120794.0,62275.0,12399.0,11764.0,659979.0,450946.0,28501.0,482623.0,444908.0,423275.0,670.0,124632.0,64883.0,12849.0,11774.0,669320.0,455620.0,26481.0,485533.0,450308.0,427763.0,670.0,129092.0,67357.0,12205.0,13389.0,679870.0,456872.0,28334.0,489325.0,451927.0,419600.0,134284.0,71970.0,12917.0,13243.0,690891.0,464600.0,28035.0,496989.0,459714.0,414509.0,139241.0,75037.0,13180.0,13931.0,700668.0,474592.0,27360.0,505910.0,469018.0,414462.0,144361.0,77435.0,14283.0,14574.0,710707.0,481838.0,25683.0,511474.0,476386.0,413067.0,Delaware,DE,3,5,5058.493859,244.469435,3,68
11,31236.0,2730300.0,5257794.0,105845.0,85795.0,37856.0,18221.0,453722.0,337815.0,35811.0,377011.0,335163.0,318410.0,495.0,108216.0,90366.0,38536.0,19162.0,462846.0,348225.0,33326.0,385006.0,345685.0,327680.0,495.0,113789.0,96398.0,39862.0,20333.0,477723.0,357701.0,31279.0,392383.0,354620.0,334460.0,495.0,118788.0,100571.0,40220.0,20741.0,486903.0,369194.0,29373.0,401716.0,366144.0,343739.0,495.0,122360.0,104526.0,41447.0,20906.0,494079.0,376871.0,27967.0,407889.0,373829.0,349082.0,495.0,126800.0,106879.0,45699.0,20589.0,501978.0,382100.0,29290.0,414355.0,379049.0,332585.0,124285.0,106838.0,47536.0,20810.0,487726.0,373967.0,28493.0,405651.0,371014.0,297447.0,124860.0,109410.0,48095.0,21167.0,484596.0,369398.0,28264.0,400930.0,366965.0,275130.0,126307.0,109725.0,49738.0,22136.0,484406.0,371410.0,25748.0,400621.0,368917.0,260295.0,District of Columbia,DC,3,5,158.316181,18.709785,1,57
12,240687.0,32516300.0,32727371.0,2418513.0,932223.0,274741.0,154629.0,13823856.0,8541063.0,915976.0,9510358.0,8432190.0,8001015.0,11772.0,2514162.0,972529.0,285035.0,157870.0,14093074.0,8755023.0,802016.0,9612931.0,8649137.0,8182481.0,11772.0,2616238.0,1021886.0,295180.0,162324.0,14395235.0,9017888.0,699117.0,9771856.0,8906265.0,8405906.0,11772.0,2721485.0,1081824.0,310208.0,169708.0,14685750.0,9253165.0,622978.0,9930791.0,9139385.0,8604930.0,11772.0,2827786.0,1138780.0,328676.0,176198.0,14964567.0,9494510.0,561448.0,10114864.0,9381949.0,8803607.0,11772.0,2938249.0,1196446.0,344232.0,180565.0,15253959.0,9683619.0,556085.0,10306742.0,9558455.0,8816484.0,3038293.0,1253271.0,356975.0,191417.0,15349290.0,9824911.0,552125.0,10448290.0,9698180.0,8741175.0,3154229.0,1308557.0,372331.0,202326.0,15579824.0,10023737.0,531896.0,10629693.0,9897435.0,8716108.0,3285351.0,1377550.0,385231.0,215765.0,15850231.0,10209376.0,516132.0,10803508.0,10084623.0,8678598.0,Florida,FL,3,5,124681.386424,10904.71147,67,1013
13,83536.0,12360000.0,4160461.0,1177995.0,490472.0,126054.0,78693.0,6499726.0,4387937.0,468932.0,4905801.0,4341466.0,4130511.0,9490.0,1208516.0,515282.0,131066.0,82955.0,6588989.0,4488768.0,419113.0,4956604.0,4438194.0,4213995.0,9490.0,1241803.0,539013.0,136749.0,85658.0,6693395.0,4605932.0,372581.0,5025909.0,4552964.0,4314784.0,9490.0,1282719.0,564822.0,142760.0,89516.0,6786152.0,4720666.0,322854.0,5090733.0,4667009.0,4412507.0,9490.0,1324601.0,590506.0,149144.0,93108.0,6887804.0,4834224.0,290560.0,5174140.0,4780823.0,4502110.0,9490.0,1377126.0,619085.0,157491.0,98699.0,6995863.0,4909934.0,291506.0,5254257.0,4851531.0,4475058.0,1426415.0,643718.0,161767.0,103325.0,7075880.0,4983753.0,290843.0,5329864.0,4926936.0,4427990.0,1464589.0,669304.0,165134.0,108680.0,7158647.0,5069418.0,280651.0,5406476.0,5010799.0,4396399.0,1503574.0,696210.0,168691.0,112432.0,7253082.0,5130869.0,276950.0,5467313.0,5071788.0,4349650.0,Georgia,GA,3,5,144389.621531,2928.608057,159,751
15,0.0,3363540.0,1212428.0,196010.0,66155.0,21744.0,12805.0,962010.0,653242.0,42288.0,736897.0,678237.0,647380.0,1410.0,201712.0,67433.0,22331.0,13725.0,972900.0,664571.0,38768.0,742116.0,687189.0,655595.0,1410.0,209097.0,69536.0,22323.0,14394.0,984268.0,671706.0,34380.0,746388.0,695088.0,663198.0,1410.0,212053.0,72121.0,22668.0,14154.0,988367.0,677446.0,32036.0,749527.0,700228.0,666876.0,1410.0,215777.0,74614.0,22900.0,14175.0,993005.0,680258.0,30269.0,752064.0,704850.0,670910.0,1410.0,218679.0,77639.0,23019.0,15152.0,996423.0,674453.0,32187.0,750350.0,698429.0,657643.0,226399.0,83849.0,24381.0,15789.0,1020422.0,680301.0,37152.0,764801.0,707605.0,658351.0,227243.0,85984.0,25539.0,16217.0,1022529.0,675071.0,35913.0,760387.0,704432.0,648127.0,230641.0,89317.0,27515.0,16925.0,1027351.0,668094.0,35378.0,752761.0,697455.0,636184.0,Hawaii,HI,4,9,12175.636063,1193.860968,5,97
16,30666.0,5170200.0,774769.0,182721.0,59019.0,14843.0,10679.0,1033034.0,717140.0,55498.0,776008.0,705503.0,663581.0,4528.0,187956.0,60751.0,15692.0,11331.0,1050340.0,732802.0,48580.0,784852.0,721440.0,678827.0,4528.0,194974.0,63098.0,15806.0,12107.0,1067932.0,750211.0,42543.0,796437.0,738526.0,694815.0,4528.0,199419.0,65801.0,15792.0,13150.0,1092103.0,770363.0,37800.0,812242.0,759017.0,712927.0,4528.0,208046.0,69863.0,16945.0,13659.0,1118532.0,793909.0,36075.0,834165.0,783232.0,734463.0,4528.0,221820.0,74381.0,18198.0,14903.0,1148299.0,819892.0,36001.0,860449.0,808897.0,746213.0,232043.0,80003.0,19279.0,14986.0,1187977.0,849215.0,35657.0,889795.0,837906.0,760380.0,245013.0,85925.0,20747.0,15472.0,1215283.0,875276.0,34152.0,914696.0,864468.0,770757.0,259383.0,91389.0,21445.0,16674.0,1247067.0,897941.0,34218.0,937331.0,886622.0,778145.0,Idaho,ID,4,8,158489.256675,2069.422853,44,281
17,278429.0,28096535.0,11325398.0,1711776.0,778338.0,183531.0,104191.0,8600080.0,6086205.0,608490.0,6712115.0,5983815.0,5730893.0,23477.0,1744255.0,800447.0,183437.0,106698.0,8618204.0,6134105.0,545614.0,6696963.0,6033467.0,5768376.0,23477.0,1776326.0,823783.0,187683.0,110749.0,8665942.0,6181543.0,491310.0,6690085.0,6080152.0,5803918.0,23477.0,1801832.0,847653.0,194142.0,114118.0,8682206.0,6225845.0,437139.0,6679878.0,6124025.0,5833296.0,23477.0,1831436.0,862395.0,199455.0,116692.0,8686214.0,6250765.0,394981.0,6663420.0,6151868.0,5847655.0,23477.0,1874988.0,884755.0,206155.0,119321.0,8686588.0,6236640.0,395113.0,6649889.0,6129061.0,5686512.0,1910756.0,920298.0,212604.0,125910.0,8764865.0,6273462.0,413041.0,6705173.0,6164657.0,5554053.0,1924326.0,938097.0,214115.0,130899.0,8746391.0,6280431.0,397747.0,6697647.0,6171875.0,5425297.0,1949185.0,952141.0,214504.0,133650.0,8738580.0,6253226.0,384790.0,6658857.0,6144821.0,5284483.0,Illinois,IL,2,3,143717.633248,2194.471995,102,1396
18,162097.0,19087700.0,7145554.0,664747.0,275285.0,57184.0,43040.0,4316236.0,3038733.0,258709.0,3300376.0,2986051.0,2886665.0,13932.0,681986.0,283692.0,59629.0,42755.0,4339655.0,3085092.0,228908.0,3316737.0,3030592.0,2926064.0,13932.0,704841.0,295381.0,61383.0,44691.0,4369415.0,3124195.0,202177.0,3329250.0,3068872.0,2956813.0,13932.0,727108.0,304487.0,62880.0,45421.0,4399778.0,3164326.0,180947.0,3348367.0,3106984.0,2990381.0,13932.0,749078.0,311229.0,64901.0,46934.0,4430449.0,3202408.0,161328.0,3367397.0,3146364.0,3021837.0,13932.0,770901.0,325852.0,67424.0,48601.0,4466141.0,3219596.0,159865.0,3383282.0,3158614.0,2985856.0,797977.0,334885.0,69354.0,51083.0,4501214.0,3250923.0,160490.0,3416171.0,3189106.0,2966202.0,815853.0,342003.0,69602.0,52190.0,4532091.0,3286714.0,154602.0,3446205.0,3222821.0,2958495.0,835437.0,351821.0,70656.0,55172.0,4559304.0,3302869.0,148579.0,3456888.0,3240266.0,2930384.0,Indiana,IN,2,3,92369.414544,982.437518,92,807
19,91021.0,12331440.0,3078868.0,372499.0,120600.0,30997.0,22408.0,2049835.0,1573386.0,81566.0,1656675.0,1546493.0,1477401.0,17727.0,379684.0,124695.0,32010.0,23087.0,2059273.0,1586914.0,75143.0,1663760.0,1559877.0,1489433.0,17727.0,387010.0,128755.0,32661.0,24062.0,2068443.0,1599532.0,68918.0,1670162.0,1573152.0,1500890.0,17727.0,395867.0,132758.0,33975.0,24480.0,2081843.0,1609319.0,65138.0,1676099.0,1583126.0,1507846.0,17727.0,403851.0,135220.0,34033.0,24784.0,2093164.0,1613775.0,62538.0,1677979.0,1587199.0,1509527.0,17727.0,415123.0,140434.0,35376.0,26267.0,2105240.0,1611372.0,65731.0,1679281.0,1583508.0,1482085.0,423927.0,144062.0,34880.0,26932.0,2120276.0,1620962.0,65908.0,1689519.0,1593039.0,1464257.0,433449.0,148294.0,36031.0,27645.0,2131599.0,1627642.0,64699.0,1695444.0,1598867.0,1450429.0,441466.0,154300.0,36061.0,28887.0,2140847.0,1629835.0,61414.0,1694396.0,1601531.0,1434574.0,Iowa,IA,2,4,145042.392455,1071.987781,99,970
