state_fips,csa_code,cbsa_code,urban_area_code,total_housing_units_2015,owner_occupied_2015,renter_occupied_2015,median_home_value_2015,median_gross_rent_2015,median_year_built_2015,median_rooms_2015,avg_household_size_2015,state_2015,total_housing_units_2016,owner_occupied_2016,renter_occupied_2016,median_home_value_2016,median_gross_rent_2016,median_year_built_2016,median_rooms_2016,avg_household_size_2016,state_2016,total_housing_units_2017,owner_occupied_2017,renter_occupied_2017,median_home_value_2017,median_gross_rent_2017,median_year_built_2017,median_rooms_2017,avg_household_size_2017,state_2017,total_housing_units_2018,owner_occupied_2018,renter_occupied_2018,median_home_value_2018,median_gross_rent_2018,median_year_built_2018,median_rooms_2018,avg_household_size_2018,state_2018,total_housing_units_2019,owner_occupied_2019,renter_occupied_2019,median_home_value_2019,median_gross_rent_2019,median_year_built_2019,median_rooms_2019,avg_household_size_2019,state_2019,total_housing_units_2020,owner_occupied_2020,renter_occupied_2020,median_home_value_2020,median_gross_rent_2020,median_year_built_2020,median_rooms_2020,avg_household_size_2020,total_housing_units_2021,owner_occupied_2021,renter_occupied_2021,median_home_value_2021,median_gross_rent_2021,median_year_built_2021,median_rooms_2021,avg_household_size_2021,total_housing_units_2022,owner_occupied_2022,renter_occupied_2022,median_home_value_2022,median_gross_rent_2022,median_year_built_2022,median_rooms_2022,avg_household_size_2022,total_housing_units_2023,owner_occupied_2023,renter_occupied_2023,median_home_value_2023,median_gross_rent_2023,median_year_built_2023,median_rooms_2023,avg_household_size_2023,state_name,state_abbr,census_region,census_division,land_area_sq_km,water_area_sq_km,county_count,zcta5_count
1,106836.0,12639510.0,4649205.0,2199147.0,1269029.0,579169.0,-19270066014.0,-69332978600.0,-9332099229.0,-13999996398.6,-6666665049.99,637.0,2209197.0,1267716.0,583230.0,-34601827432.0,-72666308035.0,-9998767762.0,-13333329718.0,-7333331720.49,637.0,2230999.0,1273105.0,583470.0,-37266239196.0,-75332970219.0,-9998767434.0,-15999996404.5,-9999998382.91,637.0,2244286.0,1275110.0,585032.0,-33930125067.0,-76666295400.0,-10665445511.0,-17333329744.7,-9333331720.02,637.0,2254833.0,1284649.0,583094.0,-33258458599.0,-77332952525.0,-12665451249.0,-17999996398.6,-9333331722.57,637.0,2270205.0,1306436.0,581950.0,-39924540361.0,-91999624368.0,-13998790147.0,-18666663036.8,-8666665043.36,2278457.0,1320555.0,582412.0,-51254505184.0,-97332932230.0,-29332123301.0,-32666663025.7,-20666664979.97,2296817.0,1347744.0,585358.0,-60578981107.0,-99332902323.0,-28665450603.0,-31999996355.1,-22666665029.9,2316118.0,1377017.0,592043.0,-56572544012.0,-103332893948.0,-30665456259.0,-33333329681.3,-23999998385.91,Alabama,AL,3,6,130158.267592,2767.857576,67,656
2,0.0,607340.0,203927.0,305858.0,158996.0,91812.0,-11967362688.0,-29333176377.0,-2666204495.0,-7333332344.5,-5333332611.43,474.0,306870.0,159301.0,90840.0,-17967357582.0,-40666513415.0,-3332873087.0,-7999999011.2,-4666665949.41,474.0,311607.0,160845.0,91617.0,-19300034614.0,-42666511525.0,-3999541729.0,-7333332340.9,-3999999285.64,474.0,313047.0,162159.0,91226.0,-19302141215.0,-42666508313.0,-3332872964.0,-6666665676.9,-4666665946.68,474.0,314550.0,162970.0,90290.0,-21302586112.0,-43999838734.0,-4666210204.0,-6666665673.1,-5333332605.59,474.0,316140.0,165342.0,89777.0,-23301625810.0,-49333177274.0,-3999541475.0,-5999999002.3,-5333332611.059999,322160.0,171207.0,89353.0,-31966508368.0,-61999848943.0,-5332862939.0,-10666665645.8,-7999999253.9,324026.0,175198.0,89164.0,-36630995231.0,-63999840846.0,-5332862845.0,-12666665648.9,-7999999275.14,325534.0,178362.0,89482.0,-39963409361.0,-65999840347.0,-5332862835.0,-14666665667.0,-9333332646.4,Alaska,AK,4,9,528457.601565,26107.37106,30,245
4,105841.0,14525240.0,10171390.0,2889623.0,1513585.0,897926.0,-15938832886.0,-32666364420.0,-9332558518.0,-12666664636.7,-8666665572.11,1616.0,2912526.0,1531671.0,916593.0,-19936107281.0,-33999686835.0,-7999221103.0,-10666664621.9,-8666665588.1,1616.0,2940854.0,1567175.0,914485.0,-22600333545.0,-36666348813.0,-8665889651.0,-11333331288.9,-9999998924.12,1616.0,2969939.0,1605879.0,917731.0,-22596773045.0,-38666341644.0,-8665893456.0,-12666664624.7,-9999998922.0,1616.0,3002241.0,1656495.0,914096.0,-21926352378.0,-36666326605.0,-8665895349.0,-12666664625.2,-9333332264.88,1616.0,3039684.0,1726965.0,915889.0,-25254432809.0,-42666324989.0,-9332563831.0,-12666664625.0,-8666665612.31,3056046.0,1765455.0,917600.0,-25246376308.0,-52666302797.0,-13332551825.0,-17333331250.9,-12666665613.93,3096888.0,1815145.0,923457.0,-26563546140.0,-55332940194.0,-14665883179.0,-17999997919.5,-12666665625.65,3141533.0,1872949.0,923229.0,-27885415771.0,-61999586191.0,-15332551636.0,-16666664572.8,-13333332307.61,Arizona,AZ,4,8,233557.023622,771.302242,15,416
5,50684.0,9190580.0,2115481.0,1334515.0,752151.0,385686.0,-16619921051.0,-86666398583.0,-7998863151.0,-9999996857.4,-5999998554.63,2930.0,1340841.0,749260.0,392005.0,-38619031129.0,-95999727364.0,-9998868993.0,-13333330207.6,-7333331897.29,2930.0,1353276.0,752455.0,394630.0,-42616851925.0,-100666392601.0,-10665537372.0,-15333330223.2,-8666665235.56,2930.0,1361574.0,756192.0,395723.0,-45282940589.0,-104666389262.0,-9998870558.0,-14666663545.1,-8666665235.17,2930.0,1369869.0,759306.0,398598.0,-47947587352.0,-102666381078.0,-8665531022.0,-15999996878.4,-8666665232.52,2930.0,1379477.0,770389.0,400052.0,-44612196622.0,-112666388744.0,-9998870238.0,-17333330202.7,-9333331862.26,1361791.0,765328.0,393234.0,-57941885142.0,-134666380126.0,-21998854022.0,-27999996781.6,-16666665147.9,1371613.0,775951.0,395803.0,-62600825804.0,-137999694285.0,-22665516526.0,-29999996777.7,-17333331833.03,1382587.0,786564.0,402714.0,-58596015410.0,-143333018867.0,-22665516349.0,-30666663443.1,-14666665186.48,Arkansas,AR,3,7,132162.079404,3009.150628,75,614
6,486704.0,60695760.0,51359377.0,13844499.0,6909033.0,5808524.0,-68651371556.0,-126664722517.0,-31996630195.0,-47333324577.8,-32666661813.73,10536.0,13910336.0,6928844.0,5878257.0,-95277374090.0,-145331341301.0,-29996623827.0,-49333324594.7,-30666661826.81,10536.0,13994799.0,7024196.0,5863624.0,-101229696080.0,-143997906923.0,-32663297936.0,-50666657926.8,-31999995155.24,10536.0,14083317.0,7085305.0,5879806.0,-93831410741.0,-147997812723.0,-30663379184.0,-47333324568.8,-34666661858.07,10536.0,14174502.0,7154457.0,5889553.0,-97782697735.0,-159331068233.0,-34663386768.0,-51333324577.3,-31999995203.45,10536.0,14209304.0,7241071.0,5861598.0,-101733043828.0,-165997649939.0,-36663392152.0,-57333324597.9,-33999995207.97,14327585.0,7335114.0,5882331.0,-137690629591.0,-206664184027.0,-61996707231.0,-84666657871.5,-57999995147.08,14423523.0,7407258.0,5908389.0,-130879534115.0,-207997307368.0,-63329960607.0,-81333324512.4,-60666661850.9,14531881.0,7494681.0,5939956.0,-136154481838.0,-216663861031.0,-63329959983.0,-85999991223.2,-59999995194.38,California,CA,4,9,280642.702012,4231.986912,58,1803
8,55723.0,8618650.0,2887063.0,2259541.0,1301632.0,721988.0,-20552982045.0,-63999594370.0,-12665678333.0,-15333330467.1,-11333332060.7,4200.0,2283489.0,1319990.0,730828.0,-31882609168.0,-65332909750.0,-13332346696.0,-16666663818.4,-9999998728.12,4200.0,2318358.0,1347455.0,734394.0,-33211851300.0,-71999572998.0,-12665677685.0,-16666663808.800001,-9999998729.48,4200.0,2350906.0,1370654.0,742104.0,-31200687702.0,-72666221659.0,-11999047757.0,-15999997124.0,-9999998735.57,4200.0,2385161.0,1401246.0,747100.0,-33860740766.0,-75999544985.0,-11332377134.0,-17333330460.4,-11333332078.65,4200.0,2360173.0,1414845.0,721825.0,-33849296566.0,-79332863655.0,-11332384791.0,-14666663764.7,-11999998739.15,2454154.0,1472934.0,754420.0,-37169174295.0,-84666164469.0,-15999035345.0,-22666663783.8,-15999998746.880001,2499334.0,1507083.0,770378.0,-43143063089.0,-85332787142.0,-18665678543.0,-22666663783.7,-16666665440.84,2544338.0,1541714.0,783209.0,-37119999794.0,-85999418418.0,-16665672268.0,-23333330431.5,-16666665456.81,Colorado,CO,4,8,267337.42150399997,1201.639295,63,527
9,116784.0,9057100.0,6786951.0,1491786.0,906227.0,446356.0,-7247130526.0,-19333030371.0,-5332798866.0,-5333331653.1,-2666665958.93,2520.0,1493798.0,900223.0,454490.0,-7913970792.0,-20666367841.0,-5332798890.0,-4666664983.3,-2666665959.2200003,2520.0,1507711.0,906798.0,454957.0,-7913739892.0,-22666364381.0,-5332798818.0,-5333331657.2,-1333332623.84,2520.0,1512305.0,907134.0,460240.0,-8579464858.0,-22666355888.0,-4666163092.0,-4666664984.3,-1333332625.92,2520.0,1516629.0,905681.0,465065.0,-6578147860.0,-18666340907.0,-2666162977.0,-2666664969.2,-1999999299.68,2520.0,1521199.0,915408.0,470029.0,-7243242826.0,-21999671480.0,-3332823812.0,-3333331637.4,-1999999307.29,1527039.0,925503.0,471821.0,-10573553456.0,-27999656340.0,-5332819686.0,-6666664948.5,-2666665950.67,1531332.0,932588.0,477219.0,-9227233724.0,-24666289022.0,-4666113979.0,-5999998270.1,-3999999284.09,1536049.0,939912.0,480258.0,-9888565090.0,-26666281273.0,-4666113775.0,-5333331599.1,-3333332622.7,Connecticut,CT,1,1,12541.938758,504.647518,9,288
10,19688.0,2379880.0,1815785.0,414416.0,244849.0,99173.0,-5318813928.0,-6666607225.0,-4666547806.0,-4666666278.1,-2666666497.18,670.0,417927.0,246940.0,101111.0,-5985287294.0,-7333274164.0,-3999879222.0,-3999999605.6,-1999999830.6299999,670.0,423489.0,251098.0,101259.0,-5984961994.0,-7333272311.0,-4666547716.0,-4666666279.2,-1999999829.72,670.0,428251.0,254308.0,103457.0,-6651391460.0,-7999939547.0,-4666547712.0,-4666666279.1,-2666666498.87,670.0,433195.0,258780.0,104542.0,-6651021760.0,-7999937830.0,-4666549654.0,-4666666275.8,-3333333168.46,670.0,438438.0,264915.0,106038.0,-4650266962.0,-8666604682.0,-4666551574.0,-4666666274.9,-3333333171.03,445308.0,272617.0,108667.0,-5315768728.0,-8666600018.0,-3999878997.0,-3999999594.6,-3333333173.17,451782.0,280127.0,109093.0,-3979412596.0,-9333263999.0,-3999877078.0,-3999999598.0,-3333333173.61,458153.0,286509.0,109885.0,-3978074296.0,-9999928330.0,-4666545759.0,-3999999596.4,-3999999842.45,Delaware,DE,3,5,5058.493859,244.469435,3,68
11,31236.0,2730300.0,5257794.0,303312.0,112750.0,160640.0,-15322131718.0,-14666632052.0,-14666621713.0,-15333333221.1,-15333333271.78,495.0,306711.0,112672.0,163874.0,-15321706718.0,-14666630922.0,-14666621701.0,-15333333221.6,-15333333271.48,495.0,308161.0,115795.0,162190.0,-15321344618.0,-14666629784.0,-14666621692.0,-15333333222.5,-15333333270.9,495.0,311545.0,117571.0,163751.0,-15320819318.0,-14666628318.0,-14666627505.0,-15333333223.1,-15333333270.52,495.0,315176.0,118367.0,166019.0,-15320169218.0,-14666627678.0,-14666629437.0,-14666666556.8,-15333333270.36,495.0,319192.0,122648.0,165659.0,-15986554884.0,-14666626618.0,-14666627476.0,-15333333224.3,-15333333270.37,344306.0,128720.0,181384.0,-23986071976.0,-23333294190.0,-22666625456.0,-22666666544.0,-22666666595.17,350372.0,130865.0,184920.0,-23317628310.0,-23333291147.0,-23333290222.0,-23333333218.5,-21999999928.25,356101.0,132288.0,189268.0,-23317196810.0,-23333289321.0,-23333290189.0,-23333333219.7,-21999999929.52,District of Columbia,DC,3,5,158.316181,18.709785,1,57
12,240687.0,32516300.0,32727371.0,9094581.0,4765133.0,2535198.0,-24506867342.0,-42665737840.0,-13331426193.0,-15333328204.2,-10666664134.12,11772.0,9152282.0,4787084.0,2605905.0,-31163966702.0,-49999054307.0,-13331426076.0,-17333328214.6,-9333330784.56,11772.0,9259009.0,4868496.0,2641981.0,-31150888701.0,-46665680954.0,-13331425773.0,-15333328201.7,-10666664122.53,11772.0,9347979.0,4954213.0,2667092.0,-28469266337.0,-45332299501.0,-14664766602.0,-16666661531.8,-11333330785.949999,11772.0,9447329.0,5058336.0,2677436.0,-33122045299.0,-47998930557.0,-15331433002.0,-16666661526.5,-11333330785.11,11772.0,9561381.0,5250239.0,2680407.0,-34441914132.0,-51332233761.0,-13331432788.0,-16666661495.5,-12666664130.92,9764874.0,5420631.0,2736789.0,-47088686084.0,-68665501930.0,-29998077214.0,-33999994766.6,-24666664131.15,9915946.0,5585913.0,2767517.0,-51046288180.0,-72665388260.0,-31331414154.0,-33333328091.2,-23333330827.71,10082335.0,5756788.0,2794102.0,-51683970546.0,-74665303173.0,-29998076400.0,-35333328102.8,-21333330858.62,Florida,FL,3,5,124681.386424,10904.71147,67,1013
13,83536.0,12360000.0,4160461.0,4132643.0,2263472.0,1310620.0,-19246603814.0,-43999496092.0,-14665261998.0,-15333329186.3,-13333331423.42,9490.0,4156147.0,2266195.0,1345263.0,-29244222304.0,-47332822215.0,-16665267761.0,-15999995846.9,-14666664758.53,9490.0,4202855.0,2306539.0,1356324.0,-31241462502.0,-51999476569.0,-15331930174.0,-15999995847.1,-12666664769.14,9490.0,4240590.0,2339756.0,1369498.0,-31236856302.0,-50666126023.0,-15331943717.0,-17333329176.5,-13333331438.73,9490.0,4282995.0,2377448.0,1381019.0,-31898694468.0,-49332773493.0,-17331943621.0,-17333329171.3,-13999998111.95,9490.0,4329176.0,2452828.0,1377105.0,-35225429199.0,-58666102162.0,-15998606039.0,-18666662485.7,-15333331447.02,4375067.0,2506889.0,1378498.0,-49885513450.0,-72666075757.0,-27998605795.0,-31999995776.2,-27999998071.21,4426793.0,2565896.0,1380613.0,-47865400252.0,-77332689153.0,-29331929229.0,-31999995761.9,-24666664747.48,4483865.0,2619544.0,1388484.0,-52518783913.0,-79999325913.0,-29998597354.0,-32666662433.3,-23999998093.38,Georgia,GA,3,5,144389.621531,2928.608057,159,751
15,0.0,3363540.0,1212428.0,527346.0,256347.0,194183.0,-7294446626.0,-7999895243.0,-3999825871.0,-4666666244.2,-3999999726.6800003,1410.0,530244.0,259809.0,192176.0,-8627464758.0,-6666558532.0,-3999825883.0,-3999999575.1,-3999999727.71,1410.0,535491.0,264570.0,190880.0,-8625953158.0,-7333222784.0,-5333163138.0,-5333332915.3,-4666666397.650001,1410.0,539043.0,266362.0,190410.0,-6622792260.0,-8666554130.0,-3999827881.0,-4666666247.8,-3999999733.5699997,1410.0,542666.0,270377.0,189039.0,-7954792092.0,-7999882212.0,-3999827960.0,-4666666244.0,-3999999736.83,1410.0,546526.0,282037.0,185895.0,-6618981760.0,-6666540510.0,-3999833731.0,-3999999568.1,-3999999740.22,556937.0,291814.0,186599.0,-9950935390.0,-9333203846.0,-7333167124.0,-7333332905.6,-5999999734.940001,560873.0,298816.0,185090.0,-9944125090.0,-11333196157.0,-7333163210.0,-7333332902.099999,-5999999737.76,564905.0,305869.0,183122.0,-9940392590.0,-11999859300.0,-7999831781.0,-7999999574.6,-5999999736.15,Hawaii,HI,4,9,12175.636063,1193.860968,5,97
16,30666.0,5170200.0,774769.0,681703.0,406907.0,183640.0,-12625329054.0,-41999853253.0,-3999462033.0,-7999998438.6,-3999999287.63,4528.0,687547.0,411784.0,185766.0,-16622891450.0,-45333185177.0,-3999461854.0,-7999998433.6,-3999999285.97,4528.0,702795.0,422662.0,187926.0,-20622922946.0,-44666511229.0,-5332799065.0,-10666665112.4,-4666665958.34,4528.0,713475.0,429601.0,190289.0,-19953330180.0,-41999837621.0,-5999473505.0,-10666665105.6,-4666665947.67,4528.0,725269.0,442056.0,189411.0,-15281578018.0,-46666505379.0,-3999469438.0,-10666665095.4,-3999999276.53,4528.0,739094.0,460788.0,189973.0,-19278278414.0,-47999834308.0,-6666145877.0,-11999998417.199999,-4666665949.41,744189.0,472362.0,186223.0,-22606909844.0,-53333158350.0,-5999467327.0,-11999998389.4,-6666665921.18,761032.0,487755.0,189186.0,-22594170744.0,-56666481531.0,-5332792781.0,-10666665041.0,-6666665939.61,778755.0,503548.0,191752.0,-20583292346.0,-55999802536.0,-4666123983.0,-8666665018.0,-5999999274.19,Idaho,ID,4,8,158489.256675,2069.422853,44,281
17,278429.0,28096535.0,11325398.0,5303533.0,3177658.0,1608672.0,-14480948052.0,-97332385556.0,-9330648452.0,-9333325166.0,-3333329836.2999997,23477.0,5310182.0,3167044.0,1635038.0,-20479192646.0,-111332370495.0,-7997310680.0,-9333325152.8,-3999996525.37,23477.0,5334644.0,3185046.0,1633310.0,-23143208910.0,-112665675119.0,-9997316458.0,-10666658476.2,-3999996553.01,23477.0,5347077.0,3188940.0,1641003.0,-25805907974.0,-117332314829.0,-8664228635.0,-11333325102.9,-2666663217.4500003,23477.0,5360135.0,3202659.0,1643419.0,-28468452938.0,-118665626290.0,-8664212601.0,-13333325103.1,-3999996566.4100003,23477.0,5373232.0,3237705.0,1646283.0,-29796137070.0,-127332291624.0,-11997539322.0,-13333325079.2,-5999996591.32,5412982.0,3279316.0,1650933.0,-38456082728.0,-133998902030.0,-13330815758.0,-17999991674.1,-9333329835.640001,5427336.0,3312797.0,1655952.0,-37096901096.0,-141998834822.0,-15330632923.0,-18666658349.3,-11999996539.33,5443481.0,3343023.0,1658870.0,-40421085526.0,-148665460378.0,-16663969944.0,-20666658354.5,-10666663246.59,Illinois,IL,2,3,143717.633248,2194.471995,102,1396
18,162097.0,19087700.0,7145554.0,2820253.0,1726338.0,775599.0,-16581722451.0,-67999521066.0,-11998512803.0,-12666662123.8,-5333331343.64,13932.0,2830669.0,1727511.0,786317.0,-24580645043.0,-73332848428.0,-13998518288.0,-15333328807.8,-5333331342.21,13932.0,2855378.0,1747513.0,789676.0,-30579923036.0,-75332840440.0,-14665186563.0,-15333328802.4,-4666664694.91,13932.0,2870670.0,1760732.0,793086.0,-29243873504.0,-77999494542.0,-14665273675.0,-15999995443.1,-6666664709.37,13932.0,2886548.0,1776182.0,794237.0,-26573511840.0,-84666158446.0,-13331946051.0,-14666662082.6,-5999998046.62,13932.0,2903720.0,1808293.0,794477.0,-26569162840.0,-93999498753.0,-12665269148.0,-14666662057.0,-6666664722.12,2911562.0,1831953.0,790648.0,-51230439182.0,-110666133651.0,-31998613765.0,-34666662004.4,-16666664646.44,2931710.0,1860566.0,793030.0,-48545292718.0,-109332755513.0,-33998510249.0,-35333328671.8,-19999997998.93,2953344.0,1886485.0,795052.0,-49202397084.0,-107999396515.0,-31998504437.0,-33999995322.7,-19999998017.27,Indiana,IN,2,3,92369.414544,982.437518,92,807
19,91021.0,12331440.0,3078868.0,1354693.0,884038.0,352644.0,-7900343292.0,-68666164140.0,-5331523627.0,-5333327484.7,-3333331088.57,17727.0,1363024.0,883352.0,359521.0,-17899168782.0,-80666156530.0,-3998185672.0,-4666660806.9,-2666664426.95,17727.0,1376538.0,889574.0,362299.0,-18563355148.0,-79999469198.0,-3998185463.0,-5333327476.1,-3333331107.35,17727.0,1387088.0,894409.0,362689.0,-17892563382.0,-75999449978.0,-3998508760.0,-5333327463.8,-2666664437.52,17727.0,1397401.0,899413.0,366254.0,-19888583880.0,-78666102950.0,-4665177266.0,-5999994135.2,-3333331110.75,17727.0,1408112.0,907150.0,366983.0,-22550188344.0,-81332763809.0,-4665190555.0,-6666660768.2,-3333331113.3,1407408.0,913114.0,362969.0,-32541942034.0,-107999399606.0,-5998517462.0,-6666660508.0,-3999997643.2400002,1417400.0,922825.0,367504.0,-25190596608.0,-115999369195.0,-3998111909.0,-5333327138.0,-4666664328.92,1427473.0,932782.0,371162.0,-31848317768.0,-118666012270.0,-5331448802.0,-5999993785.9,-5333331021.4800005,Iowa,IA,2,4,145042.392455,1071.987781,99,970
